,TErate,MSEtest
0,0.17777222152769095,0.14502714076914316
1,0.16127015876984624,0.11625956610731648
2,0.158144768096012,0.11478520932605132
3,0.155769471183898,0.1103717281360236
4,0.15564445555694462,0.11027013436770626
5,0.15501937742217778,0.11025604669371587
6,0.15464433054131765,0.11362894649239234
7,0.15376922115264408,0.10967351026953703
8,0.15376922115264408,0.1097827007931462
9,0.15339417427178398,0.10978595497890112
10,0.15301912739092385,0.10971310217441799
11,0.15314414301787724,0.10958344517408197
12,0.1532691586448306,0.10947008971639935
13,0.15401925240655082,0.10936624937566196
14,0.1545193149143643,0.10944132126566877
